score_mode,top_k,threshold_percentile,threshold,smoothing_window,ae_pred_col,hybrid_mode,pred_col,Accuracy,Precision,Recall,F1-score,Positive Windows,Evaluated Windows,delta_precision_vs_current_y_pred,delta_recall_vs_current_y_pred,delta_f1_vs_current_y_pred,delta_precision_vs_current_best,delta_recall_vs_current_best,delta_f1_vs_current_best,beats_current_y_pred_both,beats_current_best_f1,beats_current_best_both
topk,4.0,97.5,0.030647289007902145,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5814839266670052,0.4297292344989922,0.9761157712748928,0.5967449917303609,70947,98455,0.0016394415621787672,0.00044822949350076247,0.0016659056143679685,-0.012188998061865797,0.007811999743868925,-0.010125543625606692,True,False,False
topk,5.0,97.5,0.030052930116653442,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5808135696511096,0.4293358115433898,0.9762118204520714,0.5963834801912903,71019,98455,0.00124601860657636,0.00054427867067941,0.001304394075297366,-0.012582421017468204,0.007908048921047572,-0.010487055164677295,True,False,False
max,,96.87360466212871,0.031473077833652496,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5804580772941953,0.42916420513686104,0.9768521482999296,0.596337268391838,71094,98455,0.0010744122000476142,0.0011846065185375787,0.0012581822758450656,-0.01275402742399695,0.008548376768905741,-0.010533266964129595,True,False,False
max,,96.87360466212871,0.031473077833652496,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5794830125438017,0.42860152234362275,0.9771082794390729,0.5958414681764935,71206,98455,0.0005117294068093248,0.001440737657680824,0.0007623820605006104,-0.01331671021723524,0.008804507908048986,-0.01102906717947405,True,False,False
topk,4.0,96.87360466212871,0.029374882578849792,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5778782184754456,0.42765868011769653,0.9772043286162515,0.5949475653970605,71370,98455,-0.0004311128191168967,0.0015367868348594715,-0.00013152071893240969,-0.01425955244316146,0.008900557085227634,-0.01192296995890707,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5772891168554162,0.4273927392739274,0.9784849843119677,0.5949270989468767,71508,98455,-0.0006970536628860269,0.002817442530575698,-0.0001519871691162411,-0.01452549328693059,0.01018121278094386,-0.011943436409090902,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5762429536336398,0.42679232111692844,0.9787090990587181,0.5943864902439262,71625,98455,-0.0012974718198849877,0.0030415572773260235,-0.0006925958720667147,-0.015125911443929552,0.010405327527694186,-0.012484045112041375,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7915291249809557,0.9966607921343104,0.344016136261766,0.5114839938117339,10781,98455,0.568570999197497,-0.6316514055196261,-0.08359509230425899,0.5547425595734523,-0.6242876352692579,-0.09538654154423365,False,False,False
topk,5.0,96.87360466212871,0.02836419828236103,2,y_pred_smooth2,strict_and_high_conf,y_hybrid_strict,0.7915291249809557,0.9966607921343104,0.344016136261766,0.5114839938117339,10781,98455,0.568570999197497,-0.6316514055196261,-0.08359509230425899,0.5547425595734523,-0.6242876352692579,-0.09538654154423365,False,False,False
max,,98.0,0.035333018749952316,1,y_pred,strict_and_high_conf,y_hybrid_strict,0.7911126910771419,0.9969256567915036,0.3426074149964782,0.5099599695005719,10734,98455,0.5688358638546902,-0.6330601267849139,-0.08511911661542104,0.5550074242306455,-0.6256963565345457,-0.0969105658553957,False,False,False
