Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows,Direct High Conf,No Rule Mul,Soft Rule Mul,Multi Soft Mul
98377,78,0.4745824735456458,0.3288813725915326,0.8122590318434957,0.46819280827203047,0.3205944824185125,69183,True,1.15,0.95,0.8
98377,78,0.4745824735456458,0.3288813725915326,0.8122590318434957,0.46819280827203047,0.3205944824185125,69183,True,1.15,0.95,0.85
98377,78,0.4745723085680596,0.32887167182215027,0.8122233328573468,0.4681770479659238,0.320585027473295,69182,True,1.15,0.95,0.9
98377,78,0.47363713063012697,0.3286278694197716,0.8136155933171498,0.4681607164865864,0.320448106936196,69352,True,1.15,0.9,0.65
98377,78,0.47363713063012697,0.3286278694197716,0.8136155933171498,0.4681607164865864,0.320448106936196,69352,True,1.15,0.9,0.7
98377,78,0.47363713063012697,0.3286278694197716,0.8136155933171498,0.4681607164865864,0.320448106936196,69352,True,1.15,0.9,0.75
98377,78,0.47363713063012697,0.3286278694197716,0.8136155933171498,0.4681607164865864,0.320448106936196,69352,True,1.15,0.9,0.8
98377,78,0.47363713063012697,0.3286278694197716,0.8136155933171498,0.4681607164865864,0.320448106936196,69352,True,1.15,0.9,0.85
98377,78,0.47362696565254075,0.3286181886346268,0.813579894331001,0.4681449832071732,0.3204386641398685,69351,True,1.15,0.9,0.9
98377,78,0.47518220722323307,0.32900871680518956,0.8111523632728831,0.4681377093763521,0.32064892960503544,69062,True,1.15,1.0,0.65
98377,78,0.47518220722323307,0.32900871680518956,0.8111523632728831,0.4681377093763521,0.32064892960503544,69062,True,1.15,1.0,0.7
98377,78,0.47518220722323307,0.32900871680518956,0.8111523632728831,0.4681377093763521,0.32064892960503544,69062,True,1.15,1.0,0.75
98377,78,0.47518220722323307,0.32900871680518956,0.8111523632728831,0.4681377093763521,0.32064892960503544,69062,True,1.15,1.0,0.8
98377,78,0.47518220722323307,0.32900871680518956,0.8111523632728831,0.4681377093763521,0.32064892960503544,69062,True,1.15,1.0,0.85
98377,78,0.47517204224564685,0.3289990008832771,0.8111166642867342,0.4681219288576638,0.32063946855882547,69061,True,1.15,1.0,0.9
98377,78,0.4698659239456377,0.32760615279146493,0.8188633442810224,0.4679839639290414,0.3198417661543613,70017,True,1.1,0.85,0.65
98377,78,0.4698659239456377,0.32760615279146493,0.8188633442810224,0.4679839639290414,0.3198417661543613,70017,True,1.1,0.85,0.7
98377,78,0.4698659239456377,0.32760615279146493,0.8188633442810224,0.4679839639290414,0.3198417661543613,70017,True,1.1,0.85,0.75
98377,78,0.4698659239456377,0.32760615279146493,0.8188633442810224,0.4679839639290414,0.3198417661543613,70017,True,1.1,0.85,0.8
98377,78,0.4698659239456377,0.32760615279146493,0.8188633442810224,0.4679839639290414,0.3198417661543613,70017,True,1.1,0.85,0.85
98377,78,0.4698557589680515,0.32759654936014626,0.8188276452948736,0.4679683355775901,0.31983237236938333,70016,True,1.1,0.85,0.9
98377,78,0.47126869085253664,0.32788860047898355,0.8162216193060117,0.4678391291447981,0.3199590690488212,69731,True,1.1,0.95,0.65
98377,78,0.47126869085253664,0.32788860047898355,0.8162216193060117,0.4678391291447981,0.3199590690488212,69731,True,1.1,0.95,0.7
98377,78,0.47126869085253664,0.32788860047898355,0.8162216193060117,0.4678391291447981,0.3199590690488212,69731,True,1.1,0.95,0.75
98377,78,0.47126869085253664,0.32788860047898355,0.8162216193060117,0.4678391291447981,0.3199590690488212,69731,True,1.1,0.95,0.8
