score_mode,top_k,threshold_percentile,threshold,smoothing_window,ae_pred_col,hybrid_mode,pred_col,Accuracy,Precision,Recall,F1-score,Positive Windows,Evaluated Windows,delta_precision_vs_current_y_pred,delta_recall_vs_current_y_pred,delta_f1_vs_current_y_pred,delta_precision_vs_current_best,delta_recall_vs_current_best,delta_f1_vs_current_best,beats_current_y_pred_both,beats_current_best_f1,beats_current_best_both
max,,97.5,0.03321482241153717,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5844192778426692,0.43143642183383846,0.9752833450726772,0.5982325216025137,70606,98455,0.003346628897025028,-0.0003841967087148124,0.003153435486520806,-0.010481810727019536,0.00697957354165335,-0.008638013753453855,False,False,False
topk,4.0,98.0,0.031794652342796326,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5840739424102381,0.43124628492173567,0.9755714926042134,0.5981038746908491,70658,98455,0.0031564919849222384,-9.604917717864758e-05,0.0030247885748562187,-0.010671947639122326,0.007267721073189515,-0.008766660665118442,False,False,False
topk,5.0,98.0,0.03118884190917015,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5848153978975167,0.4315817854152772,0.9737465582378177,0.5980826901332285,70471,98455,0.003491992478463768,-0.001920983543574284,0.0030036040172355394,-0.010336447145580796,0.0054427867067938784,-0.008787845222739121,False,False,False
topk,5.0,98.0,0.03118884190917015,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5837387639022904,0.43104887191456254,0.9756355253889991,0.59792600731882,70695,98455,0.0029590789777491078,-3.2016392392919535e-05,0.002846921202827035,-0.010869360646295456,0.007331753857975243,-0.008944528037147625,False,False,False
topk,3.0,98.0,0.0324898324906826,1,y_pred,ae_only,y_pred,0.5844192778426692,0.4313235919988651,0.9734263943138887,0.5977743698635524,70490,98455,0.0032337990620516788,-0.0022411474675033682,0.0026952837475594515,-0.010594640561992885,0.005122622782864794,-0.009096165492415209,False,False,False
max,,97.5,0.03321482241153717,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5842262962774871,0.4312151679736801,0.9735544598834603,0.5976943715540879,70517,98455,0.003125375036866662,-0.00211308189793169,0.002615285438094972,-0.010703064587177902,0.005250688352436472,-0.009176163801879689,False,False,False
max,,97.5,0.03321482241153717,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5833324869229597,0.43080511769279706,0.9756355253889991,0.5976914552462023,70735,98455,0.002715324755983628,-3.2016392392919535e-05,0.0026123691302093466,-0.011113114868060936,0.007331753857975243,-0.009179080109765314,False,False,False
topk,3.0,97.5,0.031316302716732025,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5832715453760601,0.4307744497999915,0.9757315745661779,0.5976799599925476,70747,98455,0.002684656863178092,6.403278478583907e-05,0.0026008738765547212,-0.011143782760866472,0.007427803035154001,-0.00919057536341994,True,False,False
topk,4.0,98.0,0.031794652342796326,1,y_pred,ae_only,y_pred,0.5838606469960896,0.4310068730957273,0.9737465582378177,0.5975304276073439,70565,98455,0.0029170801589138984,-0.001920983543574284,0.0024513414913509557,-0.010911359465130666,0.0054427867067938784,-0.009340107748623705,False,False,False
topk,4.0,97.5,0.030647289007902145,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5827636991518969,0.4304800372844493,0.9758916565281424,0.5974265246322557,70807,98455,0.0023902443476358504,0.00022411474675032572,0.0023474385162627343,-0.011438195276408714,0.007587884997118488,-0.009444010723711926,True,False,False
topk,5.0,98.0,0.03118884190917015,1,y_pred,ae_only,y_pred,0.5835660961860749,0.43084157153782965,0.9739386565921752,0.5974076983503535,70606,98455,0.0027517786010162193,-0.0017288851892168777,0.0023286122343605387,-0.011076661023028345,0.005634885061151285,-0.009462837005614122,False,False,False
topk,3.0,97.5,0.031316302716732025,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5831090345843278,0.4305769802295467,0.9740987385541398,0.5971833750429364,70661,98455,0.002487187292733284,-0.00156880322725228,0.002104288926943476,-0.01134125233131128,0.005794967023115882,-0.009687160313031185,False,False,False
max,,97.5,0.03321482241153717,1,y_pred,ae_only,y_pred,0.583149662282261,0.43059153254915283,0.9739386565921752,0.59716728339926,70647,98455,0.0025017396123394042,-0.0017288851892168777,0.002088197283267035,-0.01132670001170516,0.005634885061151285,-0.009703251956707626,False,False,False
topk,5.0,97.5,0.030052930116653442,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5820628713625514,0.4300708179330192,0.976051738490107,0.5970622796709754,70886,98455,0.0019810249962057824,0.0003841967087149234,0.001983193554982443,-0.011847414627838782,0.007747966959083086,-0.009808255684992218,True,False,False
topk,4.0,97.5,0.030647289007902145,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.582692600680514,0.43035290125551406,0.9745149516552475,0.5970459582981895,70728,98455,0.002263108318700635,-0.0011525901261445481,0.0019668721821965995,-0.011565331305343929,0.006211180124223614,-0.009824577057778061,False,False,False
topk,3.0,97.5,0.031316302716732025,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5820222436646183,0.43003668171557563,0.9758916565281424,0.5969994320073643,70880,98455,0.0019468887787622013,0.00022411474675032572,0.0019203458913713556,-0.011881550845282363,0.007587884997118488,-0.009871103348603305,True,False,False
topk,4.0,97.5,0.030647289007902145,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5814839266670052,0.4297292344989922,0.9761157712748928,0.5967449917303609,70947,98455,0.0016394415621787672,0.00044822949350076247,0.0016659056143679685,-0.012188998061865797,0.007811999743868925,-0.010125543625606692,True,False,False
topk,5.0,97.5,0.030052930116653442,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5819917728911685,0.4299433671812109,0.974675033617212,0.5966817259728933,70807,98455,0.0018535742443974712,-0.0009925081641800615,0.0016026398569003453,-0.011974865379647093,0.006371262086188101,-0.010188809383074315,False,False,False
topk,3.0,97.5,0.031316302716732025,1,y_pred,ae_only,y_pred,0.5818597328728861,0.4298386868943696,0.9742588205161042,0.5965029207668483,70794,98455,0.0017488939575561746,-0.0014087212652877934,0.0014238346508553823,-0.01207954566648839,0.005955048985080369,-0.010367614589119278,False,False,False
topk,5.0,97.5,0.030052930116653442,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5808135696511096,0.4293358115433898,0.9762118204520714,0.5963834801912903,71019,98455,0.00124601860657636,0.00054427867067941,0.001304394075297366,-0.012582421017468204,0.007908048921047572,-0.010487055164677295,True,False,False
topk,4.0,97.5,0.030647289007902145,1,y_pred,ae_only,y_pred,0.5814128281956223,0.42960151267144553,0.9747390664019978,0.5963644198938317,70868,98455,0.0015117197346320999,-0.0009284753793942224,0.001285333777838793,-0.012316719889412464,0.00643529487097394,-0.010506115462135868,False,False,False
max,,96.87360466212871,0.031473077833652496,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5804580772941953,0.42916420513686104,0.9768521482999296,0.596337268391838,71094,98455,0.0010744122000476142,0.0011846065185375787,0.0012581822758450656,-0.01275402742399695,0.008548376768905741,-0.010533266964129595,True,False,False
topk,5.0,97.5,0.030052930116653442,1,y_pred,ae_only,y_pred,0.5807424711797268,0.42920778122356923,0.9748351155791766,0.596002897018811,70940,98455,0.0011179882867558,-0.0008324262022154638,0.000923810902818123,-0.012710451337288764,0.0065313440481526985,-0.010867638337156538,False,False,False
max,,96.87360466212871,0.031473077833652496,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5803158803514296,0.4289818335445712,0.9752833450726772,0.5958687062321505,71010,98455,0.0008920406077577714,-0.0003841967087148124,0.0007896201161575744,-0.012936399016286793,0.00697957354165335,-0.011001829123817086,False,False,False
max,,96.87360466212871,0.031473077833652496,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5794830125438017,0.42860152234362275,0.9771082794390729,0.5958414681764935,71206,98455,0.0005117294068093248,0.001440737657680824,0.0007623820605006104,-0.01331671021723524,0.008804507908048986,-0.01102906717947405,True,False,False
topk,3.0,96.87360466212871,0.029967475682497025,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5795236402417347,0.42859150179856115,0.9765640007683934,0.5957305521376536,71168,98455,0.0005017088617477183,0.0008964589870014139,0.0006514660216606627,-0.013326730762296846,0.008260229237369576,-0.011139983218313998,True,False,False
